Existing Gen (MW),Op Condition,Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Demand (MW),Op Cost (M$),Congestion,Load Shed (MW),% LS,% UU,2000,,0,51.62617969
4376.788398,25,OPTIMAL,1279.918602,5,0,5656.707,18.42999899,Yes,0,0,63.99593008,,,,
4326.281262,26,OPTIMAL,845.565138,5,0,5171.8464,1.615527986,Yes,0,0,42.2782569,,,,
4371.731768,27,OPTIMAL,1112.580352,5,0,5484.31212,34.37660621,Yes,0,0,55.62901762,,,,
4377.17906,28,OPTIMAL,1204.10518,5,0,5581.28424,12.13077343,Yes,0,0,60.20525899,,,,
4332.211318,29,OPTIMAL,871.9591219,5,0,5204.17044,13.99502651,Yes,0,0,43.59795609,,,,
4342.094745,30,OPTIMAL,915.949095,5,0,5258.04384,14.93276791,Yes,0,0,45.79745475,,,,
4353.954857,31,OPTIMAL,968.7370628,5,0,5322.69192,36.86452513,Yes,0,0,48.43685314,,,,
4366.055988,32,OPTIMAL,1032.058692,5,0,5398.11468,40.41822009,Yes,0,0,51.60293461,,,,
4377.086575,33,OPTIMAL,1241.909045,5,0,5618.99562,5.223887406,Yes,0,0,62.09545227,,,,
4356.919885,34,OPTIMAL,981.9340547,5,0,5338.85394,18.88854588,Yes,0,0,49.09670274,,,,
4375.577447,35,OPTIMAL,1167.995413,5,0,5543.57286,0.467324933,Yes,0,0,58.39977064,,,,
4345.059773,36,OPTIMAL,929.146087,5,0,5274.20586,23.47113455,Yes,0,0,46.45730435,,,,
4369.958086,37,OPTIMAL,1087.417334,5,0,5457.37542,26.60774132,Yes,0,0,54.37086668,,,,
4373.505449,38,OPTIMAL,1137.743371,5,0,5511.24882,16.5918521,Yes,0,0,56.88716856,,,,
4316.397835,39,OPTIMAL,801.5751649,5,0,5117.973,25.42737236,Yes,0,0,40.07875824,,,,
4368.539141,40,OPTIMAL,1067.286919,5,0,5435.82606,32.76196298,Yes,0,0,53.36434593,,,,
4366.410724,41,OPTIMAL,1037.091296,5,0,5403.50202,19.94962509,Yes,0,0,51.8545648,,,,
4359.884913,42,OPTIMAL,995.1310467,5,0,5355.01596,31.74125158,Yes,0,0,49.75655233,,,,
4376.239611,43,OPTIMAL,1178.107929,5,0,5554.34754,30.09466566,Yes,0,0,58.90539646,,,,
4352.966515,44,OPTIMAL,964.3380655,5,0,5317.30458,22.91586623,Yes,0,0,48.21690327,,,,
4361.861599,45,OPTIMAL,1003.929041,5,0,5365.79064,37.66141584,Yes,0,0,50.19645206,,,,
4376.556652,46,OPTIMAL,1183.178228,5,0,5559.73488,21.57109313,Yes,0,0,59.1589114,,,,
4353.954857,47,OPTIMAL,968.7370628,5,0,5322.69192,24.61347449,Yes,0,0,48.43685314,,,,
4345.059773,48,OPTIMAL,929.146087,5,0,5274.20586,16.41877487,Yes,0,0,46.45730435,,,,
4350.989829,1,OPTIMAL,955.5400708,6,0,5306.5299,27.63397812,Yes,0,0,47.77700354,,,,
4360.873256,2,OPTIMAL,999.530044,6,0,5360.4033,2.807275455,Yes,0,0,49.9765022,,,,
4328.257947,3,OPTIMAL,854.3631326,6,0,5182.62108,30.98569757,Yes,0,0,42.71815663,,,,
4325.292919,4,OPTIMAL,841.1661407,6,0,5166.45906,4.08768839,Yes,0,0,42.05830703,,,,
4352.966515,5,OPTIMAL,964.3380655,6,0,5317.30458,3.114777934,Yes,0,0,48.21690327,,,,
4360.873256,6,OPTIMAL,999.530044,6,0,5360.4033,9.881609602,Yes,0,0,49.9765022,,,,
