Existing Gen (MW),Op Condition,Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Demand (MW),Op Cost (M$),Congestion,Load Shed (MW),% LS,% UU,,,0.181951013,0.830247033,,,,,133.3333333,133.3333333
4725.051283,14,OPTIMAL,810.8382913,4,0.496996878,5551.7175,39.30070571,No,15.82792605,0.28509963,0.829266434,977.7777778,,,,,,,,,
4659.232921,15,OPTIMAL,667.0287091,4,0.053091782,5329.0125,22.85402756,No,2.750869544,0.051620625,0.682188453,977.7777778,,,,,,,,,
4682.617846,16,OPTIMAL,727.5138496,4,0.073991097,5419.155,9.921870732,No,9.023304505,0.166507592,0.744048255,977.7777778,,,,,,,,,
4687.524523,17,OPTIMAL,737.6434431,4,0.193932871,5435.0625,23.81161199,No,9.894534231,0.182050054,0.754408067,977.7777778,,,,,,,,,
4705.47489,18,OPTIMAL,774.8160861,4,0.273769595,5493.39,25.76673175,No,13.0990237,0.238450642,0.792425543,977.7777778,,,,,,,,,
4525.676856,19,OPTIMAL,612.4456445,4,0,5138.1225,30.45308668,No,0,0,0.626364864,977.7777778,,,,,,,,,
4694.066758,20,OPTIMAL,751.1495678,4,0.238813355,5456.2725,26.38231342,No,11.05617387,0.202632362,0.768221149,977.7777778,,,,,,,,,
4643.884985,21,OPTIMAL,657.873934,4,0.00941173,5302.5,14.94689073,No,0.741081094,0.01397607,0.672825614,977.7777778,,,,,,,,,
4606.526831,22,OPTIMAL,642.9481686,4,0,5249.475,31.78507304,No,0,0,0.657560627,977.7777778,,,,,,,,,
4666.090176,23,OPTIMAL,684.8328766,4,0.067648629,5355.525,17.51853361,No,4.601947535,0.085928971,0.70039726,977.7777778,,,,,,,,,
4656.257092,24,OPTIMAL,665.0813475,4,0.072095452,5323.71,35.95242857,No,2.371560925,0.044547147,0.680196833,977.7777778,,,,,,,,,
4689.160082,25,OPTIMAL,741.0199743,4,0.325918212,5440.365,38.9283031,No,10.18494414,0.187210677,0.757861337,977.7777778,,,,,,,,,
4591.009113,26,OPTIMAL,637.2558872,4,0,5228.265,34.70668341,No,0,0,0.651738976,977.7777778,,,,,,,,,
4559.985537,27,OPTIMAL,625.8594631,4,0,5185.845,4.784344111,No,0,0,0.640083542,977.7777778,,,,,,,,,
4725.051283,28,OPTIMAL,810.8382913,4,0.511242012,5551.7175,40.42715906,No,15.82792605,0.28509963,0.829266434,977.7777778,,,,,,,,,
4692.431199,29,OPTIMAL,747.7730366,4,0.288522474,5450.97,32.68989202,No,10.76576396,0.197501802,0.764767878,977.7777778,,,,,,,,,
4661.975823,30,OPTIMAL,674.1503761,4,0.112769014,5339.6175,38.34600106,No,3.491300741,0.065384847,0.689471976,977.7777778,,,,,,,,,
