type,line_id,year,hour,flow_mw
existing,3,6,12,-300.0
existing,3,6,13,-300.0
existing,3,6,14,-254.10302106716995
existing,3,6,15,-184.96755448565912
existing,3,6,16,-75.40198563732886
existing,3,6,17,-6.670823168688912
existing,3,6,18,225.39794042237986
existing,3,6,19,41.84529629865028
existing,3,6,20,-67.72027254967915
existing,3,6,21,-237.9309866661297
existing,3,6,22,-300.0
existing,3,6,23,-300.0
existing,3,6,24,-300.0
existing,3,6,25,107.092735089499
existing,3,6,26,-300.0
existing,3,6,27,-300.0
existing,3,6,28,-300.0
existing,3,6,29,-108.5113600550196
existing,3,6,30,-300.0
existing,3,6,31,-300.0
existing,3,6,32,-300.0
existing,3,6,33,-300.0
existing,3,6,34,-274.31807220057925
existing,3,6,35,-132.00412230518853
existing,3,6,36,-95.61703677073913
existing,3,6,37,-171.22132036550923
existing,3,6,38,-143.72885212520944
existing,3,6,39,27.290462084870228
existing,3,6,40,113.81087540603022
existing,3,6,41,300.0
existing,3,6,42,300.0
existing,3,6,43,300.0
existing,3,6,44,177.39701071249965
existing,3,6,45,300.0
existing,3,6,46,9.905523477330462
existing,3,6,47,-300.0
existing,3,6,48,-300.0
existing,4,1,1,150.0
existing,4,1,2,150.0
existing,4,1,3,150.0
existing,4,1,4,150.0
existing,4,1,5,150.0
existing,4,1,6,150.0
existing,4,1,7,150.0
existing,4,1,8,150.0
existing,4,1,9,150.0
existing,4,1,10,150.0
existing,4,1,11,150.0
existing,4,1,12,150.0
existing,4,1,13,150.0
existing,4,1,14,150.0
existing,4,1,15,150.0
existing,4,1,16,150.0
existing,4,1,17,150.0
existing,4,1,18,150.0
existing,4,1,19,150.0
existing,4,1,20,150.0
existing,4,1,21,150.0
existing,4,1,22,150.0
existing,4,1,23,150.0
existing,4,1,24,150.0
existing,4,1,25,150.0
existing,4,1,26,150.0
existing,4,1,27,150.0
existing,4,1,28,150.0
existing,4,1,29,150.0
existing,4,1,30,150.0
existing,4,1,31,150.0
existing,4,1,32,150.0
existing,4,1,33,150.0
existing,4,1,34,150.0
existing,4,1,35,150.0
existing,4,1,36,150.0
existing,4,1,37,150.0
existing,4,1,38,150.0
existing,4,1,39,150.0
existing,4,1,40,150.0
existing,4,1,41,150.0
existing,4,1,42,150.0
existing,4,1,43,150.0
existing,4,1,44,150.0
existing,4,1,45,150.0
existing,4,1,46,150.0
existing,4,1,47,150.0
existing,4,1,48,150.0
existing,4,2,1,150.0
existing,4,2,2,150.0
existing,4,2,3,150.0
existing,4,2,4,150.0
existing,4,2,5,150.0
existing,4,2,6,150.0
existing,4,2,7,150.0
existing,4,2,8,150.0
existing,4,2,9,150.0
existing,4,2,10,150.0
existing,4,2,11,150.0
existing,4,2,12,150.0
existing,4,2,13,150.0
existing,4,2,14,150.0
existing,4,2,15,150.0
existing,4,2,16,150.0
existing,4,2,17,150.0
existing,4,2,18,15.696350591199632
existing,4,2,19,150.0
existing,4,2,20,150.0
existing,4,2,21,150.0
existing,4,2,22,150.0
existing,4,2,23,150.0
existing,4,2,24,150.0
existing,4,2,25,150.0
existing,4,2,26,150.0
existing,4,2,27,150.0
existing,4,2,28,150.0
existing,4,2,29,150.0
existing,4,2,30,150.0
existing,4,2,31,150.0
existing,4,2,32,150.0
existing,4,2,33,150.0
existing,4,2,34,150.0
existing,4,2,35,150.0
existing,4,2,36,150.0
existing,4,2,37,150.0
existing,4,2,38,150.0
existing,4,2,39,150.0
existing,4,2,40,150.0
existing,4,2,41,-115.65446190570026
existing,4,2,42,-150.0
existing,4,2,43,-150.0
existing,4,2,44,-134.16190323500103
existing,4,2,45,-36.65254269850067
existing,4,2,46,150.0
existing,4,2,47,150.0
existing,4,2,48,150.0
existing,4,3,1,150.0
existing,4,3,2,150.0
existing,4,3,3,150.0
existing,4,3,4,150.0
existing,4,3,5,150.0
existing,4,3,6,150.0
existing,4,3,7,150.0
existing,4,3,8,150.0
existing,4,3,9,150.0
existing,4,3,10,150.0
existing,4,3,11,150.0
existing,4,3,12,150.0
existing,4,3,13,103.4013206472402
existing,4,3,14,-19.92050318587991
existing,4,3,15,-115.34145930823962
existing,4,3,16,-150.0
existing,4,3,17,-150.0
existing,4,3,18,-150.0
