id,node_code_st,node_code_en,voltage,length_km,reactance,ttc_mw
303,SS_32,SS_28,230,8,0.00439,558
304,VS_984,VS_985,287,72.9,0.02558,696
305,SS_260,SS_258,230,0.5,0.0003,558
306,SS_102,SS_383,230,63.3,0.03461,558
307,VS_986,VS_897,230,18.5,0.01012,558
308,SS_325,SS_311,735,266,0.00492,1910
309,VS_987,SS_268,230,138.8,0.07581,558
310,SS_334,SS_314,500,32.5,0.00164,1039
311,SS_317,SS_318,138,14.1,0.02403,239
312,VS_988,SS_753,230,291.2,0.15909,558
313,VS_989,SS_776,138,33.3,0.05679,239
314,SS_483,SS_117,735,723.2,0.01339,5729
315,SS_483,SS_117,735,723.6,0.01339,5729
316,SS_214,VS_952,230,12,0.00657,558
317,SS_753,SS_806,230,293.4,0.16028,558
318,VS_988,SS_806,230,1.7,0.00092,558
319,VS_991,SS_184,230,93.7,0.05117,558
320,SS_329,SS_305,735,299.2,0.00554,1910
321,SS_312,SS_474,735,198.8,0.00368,1910
322,SS_312,SS_474,735,198.9,0.00368,1910
323,SS_312,VS_992,735,2.6,5.00E-05,1910
324,SS_312,VS_992,735,2.8,5.00E-05,1910
325,SS_312,VS_992,735,3,6.00E-05,1910
326,SS_164,SS_129,500,245.2,0.01236,1039
327,SS_262,SS_129,500,244.2,0.01231,1039
328,SS_164,SS_262,500,25,0.00126,1039
329,SS_329,SS_305,735,299.1,0.00554,1910
330,SS_367,SS_329,735,372.5,0.00689,1910
331,SS_475,SS_330,735,344.6,0.00638,1910
332,SS_245,SS_331,230,67.7,0.03696,558
333,VS_994,SS_341,138,11.2,0.01906,239
334,VS_995,VS_996,138,18.8,0.03202,239
335,SS_343,SS_344,138,19.5,0.03333,239
336,SS_347,VS_997,240,12.4,0.00536,624
337,SS_349,SS_545,240,57.1,0.02478,624
338,SS_580,SS_360,230,32.9,0.01798,558
339,SS_355,SS_821,230,45.1,0.02466,558
340,SS_354,SS_501,230,0.6,0.00035,558
341,SS_207,VS_998,230,4,0.00218,558
342,SS_207,VS_998,230,4.2,0.00229,558
343,SS_207,VS_998,230,4.2,0.00229,558
