id,node_code,region,latitude,longitude,gen_type,Pmin,capacity_mw,om_cost
670,506,N,10,15,wind,0,126,55
671,511,N,10,15,gas,0,116,55
672,592,N,10,15,gas,0,92,15
673,1092,N,10,15,solar,0,81,15
674,420,N,10,15,solar,0,80,15
675,546,N,10,15,solar,0,75,40
676,559,N,10,15,biomass,0,30,40
677,820,N,10,15,biomass,0,50,12
678,436,N,10,15,wind,0,46,55
679,394,N,10,15,gas,0,45,55
680,1091,N,10,15,gas,0,39.7,8
681,747,N,10,15,hydro,0,32,15
682,816,N,10,15,solar,0,30,8
683,402,N,10,15,hydro,0,26,15
684,546,N,10,15,solar,0,47,55
685,278,N,10,15,gas,0,20,8
